Time,Lat,Lon,Altitude,Accuracy,Heading,Speed,Battery
1455906789.999995,42.362374,-71.090005,9.374477,25.000000,63.281250,0.660000,0.470000
1455906790.999996,42.362379,-71.090003,9.429897,25.000000,63.281250,0.570000,0.470000
1455906791.999996,42.362385,-71.090000,9.312832,25.000000,350.859375,0.730000,0.470000
1455906792.999995,42.362392,-71.089989,9.298946,25.000000,21.445312,0.730000,0.470000
1455906793.999995,42.362400,-71.089973,9.219601,25.000000,33.046875,0.990000,0.470000
1455906794.999995,42.362408,-71.089953,9.075985,25.000000,45.000000,1.070000,0.470000
1455906795.999996,42.362416,-71.089929,9.164425,25.000000,48.515625,1.330000,0.470000
1455906796.999996,42.362423,-71.089908,9.081905,25.000000,48.867188,1.330000,0.470000
1455906797.999996,42.362431,-71.089890,9.043667,25.000000,45.351562,1.200000,0.470000
1455906798.999995,42.362440,-71.089873,9.134426,25.000000,40.781250,1.180000,0.470000
1455906799.999995,42.362447,-71.089863,9.126553,25.000000,37.968750,1.180000,0.470000
1455906800.999995,42.362451,-71.089854,9.219387,25.000000,41.835938,0.470000,0.470000
1455906801.999996,42.362452,-71.089844,9.134853,25.000000,58.007812,0.500000,0.470000
1455906802.999995,42.362452,-71.089832,9.086971,25.000000,100.546875,0.500000,0.470000
1455906803.999995,42.362455,-71.089820,9.047390,25.000000,76.992188,0.600000,0.470000
